Related concept	Definition
Change	A variation in size, amount or behaviour.
Equivalence	The state of being identically equal or interchangeable, applied to statements, quantities or expressions.
Generalization	A general statement made on the basis of specific examples.
Justification	Valid reasons or evidence used to support a statement.
Measurement	A method of determining quantity, capacity or dimension using a defined unit.
Models	Depictions of real-life events using expressions, equations or graphs.
Patterns	Sets of numbers or objects that follow a specific order or rule.
Quantity	An amount or number.
Representation	The manner in which something is presented.
Simplification	The process of reducing to a less complicated form.
Space	The frame of geometrical dimensions describing an entity.
Systems	Groups of interrelated elements.
